Lon,Lat,RhoLM_in_situ,RhoLM_STP
118.5,33,3.2427297123407,3.3564117931632
118.75,33,3.2458845939426,3.3597135594438
119,33,3.2492125795726,3.3626338369879
119.25,33,3.252502406594,3.3657029898302
119.5,33,3.2542132476021,3.3683793181785
119.75,33,3.261213470468,3.3762980612286
120,33,3.2695768780182,3.385830750488
120.25,33,3.278027592745,3.3953119878488
120.5,33,3.2836823163158,3.401710696565
120.75,33,3.2893468231154,3.407668663647
121,33,3.2928491571051,3.4110567748924
121.25,33,3.290697884135,3.4086566841649
121.5,33,3.2918738018673,3.4094653817159
121.75,33,3.2874316029103,3.4047828842274
107.25,33.25,3.2759168181252,3.3896627353399
107.5,33.25,3.2841401894727,3.4011600628307
107.75,33.25,3.2893034078216,3.4094791473672
108,33.25,3.284624756324,3.4086095929603
108.25,33.25,3.2493369731602,3.3764212078782
108.5,33.25,3.2653963898523,3.3962604649103
108.75,33.25,3.2536946157039,3.3864483598422
109,33.25,3.2609668365501,3.3952932453601
109.25,33.25,3.217765080637,3.3501496830471
109.5,33.25,3.2364249775441,3.3688050900912
109.75,33.25,3.2338263062833,3.3648137781522
110,33.25,3.2531021832817,3.3782052851149
110.25,33.25,3.2193827187463,3.3419908264356
110.5,33.25,3.2155670111439,3.3372140554055
110.75,33.25,3.2223532940476,3.341589143926
111,33.25,3.2390324066786,3.3572920962627
111.25,33.25,3.2280734923122,3.343702650848
111.5,33.25,3.241236344064,3.3545195665295
111.75,33.25,3.2357282680644,3.3467028400532
112,33.25,3.2318549079836,3.3389883458504
112.25,33.25,3.2001455045125,3.3049076203865
112.5,33.25,3.2195701321023,3.3238043491197
112.75,33.25,3.2244093749812,3.3275410725403
113,33.25,3.2189615174902,3.3208598030794
113.25,33.25,3.2166487266587,3.3176277005317
113.5,33.25,3.2144009020081,3.314852294206
113.75,33.25,3.2178259731418,3.318705322034
114,33.25,3.2196079384291,3.3211158650183
114.25,33.25,3.2214854107709,3.3236707133205
114.5,33.25,3.2251361074801,3.327939903061
114.75,33.25,3.2267502147671,3.3298521252436
115,33.25,3.2282651977644,3.3316731205303
115.25,33.25,3.2307467106407,3.3346626683589
115.5,33.25,3.2343214070839,3.3395799098094
115.75,33.25,3.2374303682294,3.343172653803
116,33.25,3.238306173558,3.345290268518
116.25,33.25,3.23660315038,3.3451070310918
116.5,33.25,3.2384125032305,3.3483730933322
116.75,33.25,3.2395559004047,3.351054158164
117,33.25,3.2371540569458,3.3495535731543
117.25,33.25,3.2390345012912,3.3521122910087
117.5,33.25,3.2409674786212,3.354312204286
117.75,33.25,3.2391206347747,3.3524508941633
118,33.25,3.2418873145309,3.3556987345148
118.25,33.25,3.2457908965878,3.3602975037868
